,Ø Êmbolo (mm),Ø Haste (mm),Curso (mm),Modelo,Norma,Fabricante,Comprimento Total (mm),Rosca Haste,Conexão Pneumática,▯ Distância Quadrada Fixações (mm),Parafuso de Fixação,Pressão Máxima (Bar)
155,25,10,30,ADN-25-30-A-P-A,21287,Festo,90.5,M8,M5,26.0,M5,10
156,25,10,40,ADN-25-40-A-P-A,21287,Festo,100.5,M8,M5,26.0,M5,10
157,25,10,20,ADN-25-20-A-P-A,21287,Festo,80.5,M8,M5,26.0,M5,10
158,25,10,80,ADN-25-80-A-P-A,21287,Festo,140.5,M8,M5,26.0,M5,10
159,25,10,50,ADN-25-50-A-P-A,21287,Festo,110.5,M8,M5,26.0,M5,10
160,25,10,60,ADN-25-60-A-P-A,21287,Festo,120.5,M8,M5,26.0,M5,10
161,25,10,10,ADN-25-10-A-P-A,21287,Festo,70.5,M8,M5,26.0,M5,10
162,32,12,15,ADN-32-15-A-P-A,21287,Festo,84.0,M10x1.25,G1/8,32.5,M6,10
163,32,12,50,ADN-32-50-A-P-A,21287,Festo,119.0,M10x1.25,G1/8,32.5,M6,10
164,32,12,80,ADN-32-80-A-P-A,21287,Festo,149.0,M10x1.25,G1/8,32.5,M6,10
165,32,12,60,ADN-32-60-A-P-A,21287,Festo,129.0,M10x1.25,G1/8,32.5,M6,10
166,32,12,20,ADN-32-20-A-P-A,21287,Festo,89.0,M10x1.25,G1/8,32.5,M6,10
167,32,12,30,ADN-32-30-A-P-A,21287,Festo,99.0,M10x1.25,G1/8,32.5,M6,10
168,32,12,40,ADN-32-40-A-P-A,21287,Festo,109.0,M10x1.25,G1/8,32.5,M6,10
169,32,12,25,ADN-32-25-A-P-A,21287,Festo,94.0,M10x1.25,G1/8,32.5,M6,10
170,32,12,10,ADN-32-10-A-P-A,21287,Festo,79.0,M10x1.25,G1/8,32.5,M6,10
171,40,12,30,ADN-40-30-A-P-A,21287,Festo,100.1,M10x1.25,G1/8,38.0,M6,10
172,40,12,60,ADN-40-60-A-P-A,21287,Festo,130.1,M10x1.25,G1/8,38.0,M6,10
173,40,12,80,ADN-40-80-A-P-A,21287,Festo,150.1,M10x1.25,G1/8,38.0,M6,10
174,40,12,50,ADN-40-50-A-P-A,21287,Festo,120.1,M10x1.25,G1/8,38.0,M6,10
175,40,12,40,ADN-40-40-A-P-A,21287,Festo,110.1,M10x1.25,G1/8,38.0,M6,10
176,40,12,20,ADN-40-20-A-P-A,21287,Festo,90.1,M10x1.25,G1/8,38.0,M6,10
177,40,12,25,ADN-40-25-A-P-A,21287,Festo,95.1,M10x1.25,G1/8,38.0,M6,10
178,40,12,15,ADN-40-15-A-P-A,21287,Festo,85.1,M10x1.25,G1/8,38.0,M6,10
179,40,12,10,ADN-40-10-A-P-A,21287,Festo,80.1,M10x1.25,G1/8,38.0,M6,10
180,50,16,25,ADN-50-25-A-P-A,21287,Festo,99.7,M12x1.25,G1/8,46.5,M8,10
181,50,16,20,ADN-50-20-A-P-A,21287,Festo,94.7,M12x1.25,G1/8,46.5,M8,10
182,50,16,15,ADN-50-15-A-P-A,21287,Festo,89.7,M12x1.25,G1/8,46.5,M8,10
183,50,16,10,ADN-50-10-A-P-A,21287,Festo,84.7,M12x1.25,G1/8,46.5,M8,10
184,50,16,30,ADN-50-30-A-P-A,21287,Festo,104.7,M12x1.25,G1/8,46.5,M8,10
185,50,16,50,ADN-50-50-A-P-A,21287,Festo,124.7,M12x1.25,G1/8,46.5,M8,10
186,50,16,60,ADN-50-60-A-P-A,21287,Festo,134.7,M12x1.25,G1/8,46.5,M8,10
187,50,16,80,ADN-50-80-A-P-A,21287,Festo,154.7,M12x1.25,G1/8,46.5,M8,10
188,50,16,40,ADN-50-40-A-P-A,21287,Festo,114.7,M12x1.25,G1/8,46.5,M8,10
189,63,16,20,ADN-63-20-A-P-A,21287,Festo,98.5,M12x1.25,G1/8,56.5,M8,10
190,63,16,30,ADN-63-30-A-P-A,21287,Festo,108.5,M12x1.25,G1/8,56.5,M8,10
191,63,16,40,ADN-63-40-A-P-A,21287,Festo,118.5,M12x1.25,G1/8,56.5,M8,10
192,63,16,25,ADN-63-25-A-P-A,21287,Festo,103.5,M12x1.25,G1/8,56.5,M8,10
193,63,16,10,ADN-63-10-A-P-A,21287,Festo,88.5,M12x1.25,G1/8,56.5,M8,10
194,63,16,15,ADN-63-15-A-P-A,21287,Festo,93.5,M12x1.25,G1/8,56.5,M8,10
195,63,16,50,ADN-63-50-A-P-A,21287,Festo,128.5,M12x1.25,G1/8,56.5,M8,10
196,63,16,80,ADN-63-80-A-P-A,21287,Festo,158.5,M12x1.25,G1/8,56.5,M8,10
197,63,16,60,ADN-63-60-A-P-A,21287,Festo,138.5,M12x1.25,G1/8,56.5,M8,10
198,80,20,50,ADN-80-50-A-P-A,21287,Festo,140.9,M16x1.5,G1/8,72.0,M10,10
199,80,20,60,ADN-80-60-A-P-A,21287,Festo,150.9,M16x1.5,G1/8,72.0,M10,10
200,80,20,10,ADN-80-10-A-P-A,21287,Festo,100.9,M16x1.5,G1/8,72.0,M10,10
201,80,20,15,ADN-80-15-A-P-A,21287,Festo,105.9,M16x1.5,G1/8,72.0,M10,10
202,80,20,20,ADN-80-20-A-P-A,21287,Festo,110.9,M16x1.5,G1/8,72.0,M10,10
203,80,20,25,ADN-80-25-A-P-A,21287,Festo,115.9,M16x1.5,G1/8,72.0,M10,10
204,80,20,40,ADN-80-40-A-P-A,21287,Festo,130.9,M16x1.5,G1/8,72.0,M10,10
205,80,20,30,ADN-80-30-A-P-A,21287,Festo,120.9,M16x1.5,G1/8,72.0,M10,10
206,80,20,80,ADN-80-80-A-P-A,21287,Festo,170.9,M16x1.5,G1/8,72.0,M10,10
207,100,20,10,ADN-100-10-A-P-A,21287,Festo,114.0,M16x1.5,G1/8,89.0,M10,10
208,100,20,20,ADN-100-20-A-P-A,21287,Festo,124.0,M16x1.5,G1/8,89.0,M10,10
209,100,20,40,ADN-100-40-A-P-A,21287,Festo,144.0,M16x1.5,G1/8,89.0,M10,10
210,100,20,60,ADN-100-60-A-P-A,21287,Festo,164.0,M16x1.5,G1/8,89.0,M10,10
211,100,20,15,ADN-100-15-A-P-A,21287,Festo,119.0,M16x1.5,G1/8,89.0,M10,10
212,100,20,25,ADN-100-25-A-P-A,21287,Festo,129.0,M16x1.5,G1/8,89.0,M10,10
213,100,20,30,ADN-100-30-A-P-A,21287,Festo,134.0,M16x1.5,G1/8,89.0,M10,10
214,100,20,80,ADN-100-80-A-P-A,21287,Festo,184.0,M16x1.5,G1/8,89.0,M10,10
215,100,20,50,ADN-100-50-A-P-A,21287,Festo,154.0,M16x1.5,G1/8,89.0,M10,10
216,125,25,30,ADN-125-30-A-P-A,21287,Festo,162.0,M20x1.5,G1/4,110.0,M12,10
217,125,25,15,ADN-125-15-A-P-A,21287,Festo,147.0,M20x1.5,G1/4,110.0,M12,10
218,125,25,10,ADN-125-10-A-P-A,21287,Festo,142.0,M20x1.5,G1/4,110.0,M12,10
219,125,25,25,ADN-125-25-A-P-A,21287,Festo,157.0,M20x1.5,G1/4,110.0,M12,10
220,125,25,20,ADN-125-20-A-P-A,21287,Festo,152.0,M20x1.5,G1/4,110.0,M12,10
221,125,25,40,ADN-125-40-A-P-A,21287,Festo,172.0,M20x1.5,G1/4,110.0,M12,10
222,125,25,60,ADN-125-60-A-P-A,21287,Festo,192.0,M20x1.5,G1/4,110.0,M12,10
223,125,25,50,ADN-125-50-A-P-A,21287,Festo,182.0,M20x1.5,G1/4,110.0,M12,10
224,125,25,80,ADN-125-80-A-P-A,21287,Festo,212.0,M20x1.5,G1/4,110.0,M12,10
225,32,12,10,CP96SDB32-10C,15552,SMC,156.0,"M10x1,25",G1/8,32.5,M6,10
226,32,12,20,CP96SDB32-20C,15552,SMC,166.0,"M10x1,25",G1/8,32.5,M6,10
227,32,12,30,CP96SDB32-30C,15552,SMC,176.0,"M10x1,25",G1/8,32.5,M6,10
228,32,12,40,CP96SDB32-40C,15552,SMC,186.0,"M10x1,25",G1/8,32.5,M6,10
229,32,12,60,CP96SDB32-60C,15552,SMC,206.0,"M10x1,25",G1/8,32.5,M6,10
230,32,12,70,CP96SDB32-70C,15552,SMC,216.0,"M10x1,25",G1/8,32.5,M6,10
231,32,12,75,CP96SDB32-75C,15552,SMC,221.0,"M10x1,25",G1/8,32.5,M6,10
232,32,12,95,CP96SDB32-95C,15552,SMC,241.0,"M10x1,25",G1/8,32.5,M6,10
233,32,12,125,CP96SDB32-125C,15552,SMC,271.0,"M10x1,25",G1/8,32.5,M6,10
234,32,12,150,CP96SDB32-150C,15552,SMC,296.0,"M10x1,25",G1/8,32.5,M6,10
235,32,12,160,CP96SDB32-160C,15552,SMC,306.0,"M10x1,25",G1/8,32.5,M6,10
236,32,12,180,CP96SDB32-180C,15552,SMC,326.0,"M10x1,25",G1/8,32.5,M6,10
237,32,12,200,CP96SDB32-200C,15552,SMC,346.0,"M10x1,25",G1/8,32.5,M6,10
238,32,12,250,CP96SDB32-250C,15552,SMC,396.0,"M10x1,25",G1/8,32.5,M6,10
239,32,12,300,CP96SDB32-300C,15552,SMC,446.0,"M10x1,25",G1/8,32.5,M6,10
240,32,12,320,CP96SDB32-320C,15552,SMC,466.0,"M10x1,25",G1/8,32.5,M6,10
241,32,12,335,CP96SDB32-335C,15552,SMC,481.0,"M10x1,25",G1/8,32.5,M6,10
242,32,12,350,CP96SDB32-350C,15552,SMC,496.0,"M10x1,25",G1/8,32.5,M6,10
243,32,12,400,CP96SDB32-400C,15552,SMC,546.0,"M10x1,25",G1/8,32.5,M6,10
244,32,12,500,CP96SDB32-500C,15552,SMC,646.0,"M10x1,25",G1/8,32.5,M6,10
245,40,16,20,CP96SDB40-20C,15552,SMC,183.0,"M12x1,25",G1/4,38.0,M6,10
246,40,16,25,CP96SDB40-25C,15552,SMC,188.0,"M12x1,25",G1/4,38.0,M6,10
247,40,16,30,CP96SDB40-30C,15552,SMC,193.0,"M12x1,25",G1/4,38.0,M6,10
248,40,16,40,CP96SDB40-40C,15552,SMC,203.0,"M12x1,25",G1/4,38.0,M6,10
249,40,16,50,CP96SDB40-50C,15552,SMC,213.0,"M12x1,25",G1/4,38.0,M6,10
250,40,16,60,CP96SDB40-60C,15552,SMC,223.0,"M12x1,25",G1/4,38.0,M6,10
251,40,16,70,CP96SDB40-70C,15552,SMC,233.0,"M12x1,25",G1/4,38.0,M6,10
252,40,16,80,CP96SDB40-80C,15552,SMC,243.0,"M12x1,25",G1/4,38.0,M6,10
253,40,16,100,CP96SDB40-100C,15552,SMC,263.0,"M12x1,25",G1/4,38.0,M6,10
254,40,16,125,CP96SDB40-125C,15552,SMC,288.0,"M12x1,25",G1/4,38.0,M6,10
255,40,16,150,CP96SDB40-150C,15552,SMC,313.0,"M12x1,25",G1/4,38.0,M6,10
256,40,16,160,CP96SDB40-160C,15552,SMC,323.0,"M12x1,25",G1/4,38.0,M6,10
257,40,16,200,CP96SDB40-200C,15552,SMC,363.0,"M12x1,25",G1/4,38.0,M6,10
258,40,16,250,CP96SDB40-250C,15552,SMC,413.0,"M12x1,25",G1/4,38.0,M6,10
259,40,16,300,CP96SDB40-300C,15552,SMC,463.0,"M12x1,25",G1/4,38.0,M6,10
260,40,16,320,CP96SDB40-320C,15552,SMC,483.0,"M12x1,25",G1/4,38.0,M6,10
261,40,16,350,CP96SDB40-350C,15552,SMC,513.0,"M12x1,25",G1/4,38.0,M6,10
262,40,16,400,CP96SDB40-400C,15552,SMC,563.0,"M12x1,25",G1/4,38.0,M6,10
263,40,16,500,CP96SDB40-500C,15552,SMC,663.0,"M12x1,25",G1/4,38.0,M6,10
264,40,16,700,CP96SDB40-700C,15552,SMC,863.0,"M12x1,25",G1/4,38.0,M6,10
265,50,20,20,CP96SDB50-20C,15552,SMC,199.0,"M16x1,5",G1/4,46.5,M8,10
266,50,20,25,CP96SDB50-25C,15552,SMC,204.0,"M16x1,5",G1/4,46.5,M8,10
267,50,20,30,CP96SDB50-30C,15552,SMC,209.0,"M16x1,5",G1/4,46.5,M8,10
268,50,20,40,CP96SDB50-40C,15552,SMC,219.0,"M16x1,5",G1/4,46.5,M8,10
269,50,20,50,CP96SDB50-50C,15552,SMC,229.0,"M16x1,5",G1/4,46.5,M8,10
270,50,20,60,CP96SDB50-60C,15552,SMC,239.0,"M16x1,5",G1/4,46.5,M8,10
271,50,20,70,CP96SDB50-70C,15552,SMC,249.0,"M16x1,5",G1/4,46.5,M8,10
272,50,20,80,CP96SDB50-80C,15552,SMC,259.0,"M16x1,5",G1/4,46.5,M8,10
273,50,20,100,CP96SDB50-100C,15552,SMC,279.0,"M16x1,5",G1/4,46.5,M8,10
274,50,20,120,CP96SDB50-120C,15552,SMC,299.0,"M16x1,5",G1/4,46.5,M8,10
275,50,20,125,CP96SDB50-125C,15552,SMC,304.0,"M16x1,5",G1/4,46.5,M8,10
276,50,20,150,CP96SDB50-150C,15552,SMC,329.0,"M16x1,5",G1/4,46.5,M8,10
277,50,20,160,CP96SDB50-160C,15552,SMC,339.0,"M16x1,5",G1/4,46.5,M8,10
278,50,20,200,CP96SDB50-200C,15552,SMC,379.0,"M16x1,5",G1/4,46.5,M8,10
279,50,20,250,CP96SDB50-250C,15552,SMC,429.0,"M16x1,5",G1/4,46.5,M8,10
280,50,20,300,CP96SDB50-300C,15552,SMC,479.0,"M16x1,5",G1/4,46.5,M8,10
281,50,20,320,CP96SDB50-320C,15552,SMC,499.0,"M16x1,5",G1/4,46.5,M8,10
282,50,20,350,CP96SDB50-350C,15552,SMC,529.0,"M16x1,5",G1/4,46.5,M8,10
283,50,20,400,CP96SDB50-400C,15552,SMC,579.0,"M16x1,5",G1/4,46.5,M8,10
284,50,20,450,CP96SDB50-450C,15552,SMC,629.0,"M16x1,5",G1/4,46.5,M8,10
285,50,20,500,CP96SDB50-500C,15552,SMC,679.0,"M16x1,5",G1/4,46.5,M8,10
286,50,20,520,CP96SDB50-520C,15552,SMC,699.0,"M16x1,5",G1/4,46.5,M8,10
287,50,20,800,CP96SDB50-800C,15552,SMC,979.0,"M16x1,5",G1/4,46.5,M8,10
288,50,20,900,CP96SDB50-900C,15552,SMC,1079.0,"M16x1,5",G1/4,46.5,M8,10
289,50,20,1254,CP96SDB50-1254C,15552,SMC,1433.0,"M16x1,5",G1/4,46.5,M8,10
290,63,20,20,CP96SDB63-20C,15552,SMC,214.0,"M16x1,5",G3/8,56.5,M8,10
291,63,20,25,CP96SDB63-25C,15552,SMC,219.0,"M16x1,5",G3/8,56.5,M8,10
292,63,20,30,CP96SDB63-30C,15552,SMC,224.0,"M16x1,5",G3/8,56.5,M8,10
293,63,20,40,CP96SDB63-40C,15552,SMC,234.0,"M16x1,5",G3/8,56.5,M8,10
294,63,20,50,CP96SDB63-50C,15552,SMC,244.0,"M16x1,5",G3/8,56.5,M8,10
295,63,20,60,CP96SDB63-60C,15552,SMC,254.0,"M16x1,5",G3/8,56.5,M8,10
296,63,20,70,CP96SDB63-70C,15552,SMC,264.0,"M16x1,5",G3/8,56.5,M8,10
297,63,20,80,CP96SDB63-80C,15552,SMC,274.0,"M16x1,5",G3/8,56.5,M8,10
298,63,20,100,CP96SDB63-100C,15552,SMC,294.0,"M16x1,5",G3/8,56.5,M8,10
299,63,20,125,CP96SDB63-125C,15552,SMC,319.0,"M16x1,5",G3/8,56.5,M8,10
300,63,20,150,CP96SDB63-150C,15552,SMC,344.0,"M16x1,5",G3/8,56.5,M8,10
301,63,20,160,CP96SDB63-160C,15552,SMC,354.0,"M16x1,5",G3/8,56.5,M8,10
302,63,20,200,CP96SDB63-200C,15552,SMC,394.0,"M16x1,5",G3/8,56.5,M8,10
303,63,20,250,CP96SDB63-250C,15552,SMC,444.0,"M16x1,5",G3/8,56.5,M8,10
304,63,20,300,CP96SDB63-300C,15552,SMC,494.0,"M16x1,5",G3/8,56.5,M8,10
